mission,date,date_time,latitude,longitude,sample_type,sample_source,snow_thickness,code_operation,station,station_type,cast,bottle,bottom_depth_m,depth_m,filter_type,quality_flag,dilution_factor,no3_um_l,no2_um_l,no2_and_no3,po4_um_l,sioh4_um_l,n_ice_samples_ice_camp_2016,method,pi
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.462,0.191,NA,0.826,5.839,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.438,0.094,NA,0.817,6.16,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.438,0.094,NA,0.817,6.16,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,8,gff,NA,NA,4.311,0.066,NA,0.874,6.104,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,14,gff,NA,NA,4.311,0.066,NA,0.874,6.104,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.192,0.048,NA,0.845,7.144,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,6.047,0.033,NA,0.88,8.176,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.47,0.1,NA,0.84,6.904,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.584,0.087,NA,0.835,6.497,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,NA,NA,NA,NA,6.39,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,14,gff,NA,NA,4.737,0.064,NA,0.825,6.545,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,4.97,NA,NA,0.804,6.724,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.657,0.042,NA,0.866,7.622,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.349,0.038,NA,0.835,7.375,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.326,0.047,NA,0.813,6.002,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.282,0.044,NA,0.814,5.91,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,14,gff,NA,NA,4.613,0.084,NA,0.844,6.788,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.613,0.084,NA,0.844,6.788,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.162,0.044,NA,0.86,7.122,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.736,0.139,NA,0.893,8.065,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.976,0.112,NA,0.903,6.895,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.128,0.054,NA,0.825,6.803,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.092,0.074,NA,0.843,5.851,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.152,0.046,NA,0.834,5.608,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.119,0.069,NA,0.898,7.421,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.518,0.056,NA,0.89,7.757,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.434,0.074,NA,0.861,6.245,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.276,0.027,NA,0.848,6.092,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.451,0.119,NA,0.866,6.261,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,5.077,0.031,NA,0.88,6.861,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.065,0.022,NA,0.882,7.273,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.535,0.106,NA,0.92,7.551,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.516,0.045,NA,0.849,6.549,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.541,0.049,NA,0.867,6.413,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.553,0.052,NA,0.862,6.134,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.845,0.034,NA,0.859,6.726,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.158,0.023,NA,0.87,6.955,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.864,0.158,NA,0.92,7.938,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-10,2015-05-10T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.992,0.056,NA,0.878,6.691,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-10,2015-05-10T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.655,0.047,NA,0.853,6.553,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-10,2015-05-10T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.659,0.045,NA,0.855,6.726,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-10,2015-05-10T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.905,0.052,NA,0.878,6.754,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-10,2015-05-10T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.324,0.031,NA,0.87,8.616,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-10,2015-05-10T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.447,0.072,NA,0.885,7.375,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.133,0.082,NA,0.831,6.712,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.267,0.063,NA,0.852,6.346,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.361,0.055,NA,0.847,6.631,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.784,0.049,NA,0.868,7.146,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.392,0.049,NA,0.897,7.654,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,6.168,0.154,NA,0.981,8.265,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.542,0.054,NA,0.836,6.711,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.652,NA,NA,0.813,6.151,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.989,0.052,NA,0.858,7.258,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.946,0.064,NA,0.887,7.146,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.311,0.049,NA,0.894,7.268,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.541,0.028,NA,0.889,7.544,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.849,0.119,NA,0.924,6.621,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.97,0.187,NA,1.034,10.067,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,5.191,NA,NA,1.148,6.423,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,5.032,0.04,NA,0.873,8.379,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.182,0.061,NA,1.017,7.588,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.789,0.082,NA,0.944,8.436,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.542,NA,NA,0.806,6.587,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.912,0.058,NA,0.8285,6.608,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.965,NA,NA,0.797,6.578,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,4.811,0.039,NA,0.797,7.005,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.051,0.072,NA,0.821,7.13,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.732,0.215,NA,0.847,6.475,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.467,0.158,NA,0.813,6.148,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.585,0.007,NA,0.809,6.173,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.7,0.068,NA,0.811,6.353,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.017,0.066,NA,0.832,6.697,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.565,0.06,NA,0.834,7.427,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,water,underice,NA,NA,NA,NA,NA,NA,NA,0,gff,NA,NA,4.689,0.086,NA,0.806,6.448,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.541,0.059,NA,0.783,6.138,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.807,0.15,NA,0.795,6.428,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.911,0.094,NA,0.819,6.79,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.674,0.057,NA,0.838,7.5,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,6,0.04,NA,0.856,7.967,NA,colorimetry/autoanalyser,"Raimbault, P."
